,name,workCity,workType,workingExp,companySize,education,jobSummary,companyName,salaryReal,recruitNumber,property,is_duplicate_with_previous
27,交银金科-数据分析实习生,上海,全职,不限,100-299人,本科,1、负责协助项目的需求调研、数据分析、商业分析和数据挖掘模型等；2、通过统计和数据挖掘算法优化经营效果，向决策层提供战略决策数据支持，规范化数据分析流程；3、跟踪业务/重点项目的发展变化，对业务经营发展状态进行监控分析，提出策略建议报告；4、负责监控各业务线执行情况，推进经营分析相关事项的落地；5、完成领导交办的临时性工作。,交银金科,0-0,0,国企,False
28,工学-大数据分析,武汉,全职,不限,1000-9999人,博士,1.专业方向大数据分析2.研究方向大数据分析与人工智能3.进站要求年龄一般在36岁以下，能够全脱产从事博士后研究工作。,中石化石油机械股份有限公司,0-0,1,国企,False
29,工业大数据分析（十室）,沈阳,全职,不限,1000-9999人,硕士,需求专业：0812 计算机科学与技术0811 控制科学与工程0835 软件工程等相关专业学历学位要求：硕士研究生及以上工作职责：聚焦工业领域问题域特征，进行工业大数据分析的理论方法研究/开发工作，为理论方法在工业生产的落地应用服务。课题组介绍：研究方向：在智能制造领域开展人工智能、机器学习、数据挖掘等方向的方法研究与应用工作。,中国科学院沈阳自动化研究所,10000-18000,0,事业单位,False
30,大数据分析工程师,广州,全职,不限,20-99人,硕士,1、负责储能大数据平台项目，数据规划设计、数据仓库、大数据平台的设计与开发；2，根据大数据平台业务需求，从功能和非功能角度，负责架构和产品的设计、实现；3、负责ETL开发及优化，实现大数据数据采集、清洗、转换，保证数据质量指标加工，数据模型的设计等工作；5、参与数据中台规划、数据规范、数据质量及稳定性保障建设工作；6.分析系统相关依赖，设计度量指标，编写数据采集等工作，构建数据分析与监控能力；7，...,广东新型储能国家研究院有限公司,0-0,0,股份制企业,False
31,数据分析工程师(J16502),廊坊,全职,无经验,10000人以上,本科,工作职责： 1.负责产品Demo和交互设计，推动产品开发和落地，并能规划和设计整个产品的长期演进方向； 2.撰写高质量的产品需求文档，完成用户界面设计、交互设计、对视觉设计进行把关，确保产品质量、项目进度。任职资格：1.本科及以上学历，数学、统计、计算机软件等相关专业优先； 2.熟悉数据统计方式，具有用户行为分析，产品分析能力； 3.有较强的数据敏感性，逻辑思维能力，快速的业务理解和学习能力； 4...,新奥集团,7000-14000,1,民营,False
32,【威高·新羽】营销数据分析师,山东,全职,无经验,10000人以上,硕士,岗位职责：1、配合数据经理工作，深入产业集团业务，理解业务数据来源，分析及应用； 2、收集、清洗及录入各类市场及客户数据，包含客户行为数据、市场趋势数据，国家政策数据，竞争对手数据等，保证数据准确性、及时性、有效性； 3、运用数据分析方法和工具，对数据进行深度分析和应用，结合数据来源，类型提供各产业集团使用，结合数据分析结果，为各产业集团营销团队提供策略建议及优化方案，包含目标客户群体推荐、广告投...,威高集团,0-0,0,民营,False
33,综合类-审计,全国,全职,不限,500-999人,本科,工作职责1.参与审计系统和风控系统信息化建设； 2.参与审计风险类数据统计、汇总、分析； 3.协助部门开展相关审计及风控工作； 4.负责部门各类资料档案整理、各类投诉举报信息收集处理，部门其他内务工作处理； 5.负责履行监察职责，对公司内部涉嫌收受贿赂、侵占公司资产、徇私舞弊、损公肥私等违法违纪行为进行调查、取证及处理。任职要求1.土木工程、工程管理、市场营销、法律、审计相关专业优先； 2.适应频...,新城控股集团有限公司上海分公司,8000-15000,0,民营,False
34,上市大平台/贝壳找房/急聘新媒体运营管理底薪6000（地点天津）,全国,全职,不限,10000人以上,大专,前期重保障，重培养，无提成；后期获客稳定后轻保障，重提成，我教的60分能力小白30天内能掌握，房产领域知识学的快一些能轻松驾驭，按照我孵化的新号流量和获客速度，预计8000-15000/月，成熟后转化团队足够大，店面20+的转化团队，大区100+转化团队，只要你流量大，都能转化，流量越多收入越高，成熟后可以配置自己的转化团队，客源贡献提成+带队提佣+合伙人分红能力：免费的90天从0基础到成熟运营的...,北京链家置地房地产经纪有限公司,6000-12000,5,民营,False
35,产品经理-海外留学生（英语）,全国,全职,无经验,10000人以上,学历不限,岗位描述：1.了解笔记本电脑市场需求、发展趋势，与目标客户沟通需求，制定详细的产品规划、产品规格；2.了解新技术、新资源的情况、变化、趋势，做好新产品的新技术、新功能规划；3.负责组织新规划产品的方向把握、评估实现，目标成本实现；4.负责产品全生命周期的产品管理和协调工作，管理产品生命周期的成本、毛利、风险；5.负责产品设计把控：产品的外观和风格，用户体验，实现性能；6.了解核心客户的产品风格，产...,华勤技术股份有限公司,0-0,0,民营,False
36,数据分析员,上海,全职,不限,100-299人,本科,岗位职责：1、 整理各项目数据，针对数据进行有效整合，产出报表；2、 针对数据报表进行深入分析，并制作会议报告；3、 及时通报异常数据，并追踪责任人员；4、 不断优化相关报表及报告设计，提高工作效率，保证产出准确、及时、高效； 任职资格： 1、 本科及以上学历，计算机、统计学、营销管理专业毕业优先； 2、 有快消品行业工作经验者优先： 3、 能熟练操作Word/Excel/PPT等相关办公软件，具...,上海元杏科技有限公司,7001-9000,3,民营,False
